city,region,address,population,timezone,geo_lat,geo_lon,fias_id
Белогорск,Амурская,"Амурская обл, г Белогорск",68220,UTC+9,50.9213415,128.4739471,c528e99b-7e81-4290-9cda-8713884472a5
Благовещенск,Амурская,г Благовещенск,214397,UTC+9,50.290659,127.527198,8f41253d-6e3b-48a9-842a-25ba894bd093
Завитинск,Амурская,"Амурская обл, г Завитинск",11481,UTC+9,50.1064111,129.4391813,7b39476f-0edb-4bc3-bb31-6cedfb2aa695
Зея,Амурская,"Амурская обл, г Зея",25042,UTC+9,53.7340088,127.265787,581855f4-f0bc-44a5-a36e-a298279f9ec4
Райчихинск,Амурская,"Амурская обл, г Райчихинск",20499,UTC+9,49.7941615,129.4112492,981b5f3a-f0b6-444f-a6fb-c2bc10804b31
Свободный,Амурская,"Амурская обл, г Свободный",58594,UTC+9,51.3614103,128.1219729,dd560dfa-3feb-48e2-aa3b-b71213e7441e
Сковородино,Амурская,"Амурская обл, г Сковородино",9561,UTC+9,53.9871095,123.9437205,260c545f-883c-440a-852c-c39a65fe4104
Тында,Амурская,"Амурская обл, г Тында",35574,UTC+9,55.1546441,124.7468904,007e010f-e110-4a55-90a7-c4acac623c9b
Циолковский,Амурская,"Амурская обл, г Циолковский",6208,UTC+9,51.762481,128.1219846,f9ce3255-3f79-4457-919c-d180fa813b6a
Шимановск,Амурская,"Амурская обл, г Шимановск",19815,UTC+9,52.0051886,127.7005458,809f0591-bb18-40a2-9fac-7d3d0a22c0bf
Бабушкин,Бурятия,"Респ Бурятия, Кабанский р-н, г Бабушкин",4542,UTC+8,51.7112755,105.8673219,519731a7-aace-435a-9a1c-1d0051ab7913
Гусиноозерск,Бурятия,"Респ Бурятия, г Гусиноозерск",23280,UTC+8,51.2865048,106.5230319,30e1ab6c-4ee2-45ce-934a-c3435a015c29
Закаменск,Бурятия,"Респ Бурятия, г Закаменск",11249,UTC+8,50.372713,103.286699,0602f259-5de5-48e0-8a2c-427a5e0aef82
Кяхта,Бурятия,"Респ Бурятия, г Кяхта",20013,UTC+8,50.346543,106.4533516,5ef858d8-f7e6-4ea9-8276-53a25672bf9f
